"No.","Time","Source","Destination","Protocol","Length","Info"
"47","0.011571","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=48450 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"49","0.012813","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"50","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=51214 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"51","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=52596 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"52","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=53978 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"53","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=55360 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"54","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=56742 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"55","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=58124 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"56","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=59506 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"57","0.012813","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=60888 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"59","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=62270 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"60","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=63652 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"61","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=65034 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"62","0.013052","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"63","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=67798 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"64","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=69180 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"65","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=70562 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"66","0.013052","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=71944 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"68","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=73326 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"69","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=74708 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"70","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=76090 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"71","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=77472 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"72","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=78854 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"73","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=80236 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"74","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=81618 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"75","0.014355","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"76","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=84382 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"77","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=85764 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"78","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=87146 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"79","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=88528 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"80","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=89910 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"81","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=91292 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"82","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=92674 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"83","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=94056 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"84","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=95438 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"85","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=96820 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"86","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=98202 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"87","0.014355","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"88","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=100966 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"89","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=102348 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"90","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=103730 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"91","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=105112 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"92","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=106494 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"93","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=107876 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"94","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=109258 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"95","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=110640 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"96","0.014355","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=112022 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"98","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=113404 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"99","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=114786 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"100","0.015351","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"101","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=117550 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"102","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=118932 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"103","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=120314 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"104","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=121696 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"105","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=123078 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"106","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=124460 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"107","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=125842 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"108","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=127224 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"109","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=128606 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"110","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=129988 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"111","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=131370 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"112","0.015351","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"113","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=134134 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"114","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=135516 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"115","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=136898 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"116","0.015351","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=138280 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"118","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=139662 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"119","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=141044 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"120","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=142426 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"121","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=143808 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"122","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=145190 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"123","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=146572 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"124","0.016837","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"125","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=149336 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"126","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=150718 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"127","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=152100 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"128","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=153482 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"129","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=154864 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"130","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=156246 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"131","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=157628 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"132","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=159010 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"133","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=160392 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"134","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=161774 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"135","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=163156 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"136","0.016837","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
"137","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=165920 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"138","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=167302 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"139","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=168684 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"140","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=170066 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"141","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=171448 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"142","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=172830 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"143","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=174212 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"144","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=175594 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"145","0.016837","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=176976 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"147","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [ACK] Seq=178358 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"148","0.017497","176.235.75.83","172.16.7.65","TCP","1436","443  >  54052 [PSH, ACK] Seq=179740 Ack=3867 Win=521 Len=1382 [TCP segment of a reassembled PDU]"
"149","0.017497","176.235.75.83","172.16.7.65","TLSv1.2","1436","Application Data"
